,WIKA_A10[mV]
1034,0.9099255919999999
1035,0.9089330554
1036,0.9099847554
1037,0.911263132
1038,0.9113533974000001
1039,0.9119573592
1040,0.9130071044000001
1041,0.9130888224
1042,0.912992382
1043,0.9125362634
1044,0.91252774
1045,0.9113833187999999
1046,0.9111921905999999
1047,0.9112412096
1048,0.9108674526
1049,0.909676814
1050,0.9096514344
1051,0.9098235846
1052,0.9092231392000001
1053,0.9089696168
1054,0.9089785217999999
1055,0.9089295505999999
1056,0.9082439301999999
1057,0.9087707876
1058,0.9100028992
1059,0.9099023224
1060,0.9104076147999999
1061,0.9105217696000001
1062,0.9094171882
1063,0.9082026482
1064,0.9082175969999999
1065,0.9089589238
1066,0.908438909
1067,0.909544146
1068,0.9096788165999999
1069,0.9109706041999999
1070,0.9107536313999999
1071,0.9108157038
1072,0.9110432506
1073,0.9108942628
1074,0.909798193
1075,0.9087118505999999
1076,0.9097032545999999
1077,0.9084422944
1078,0.9095843433999999
1079,0.9105857967999998
1080,0.9108092188000001
1081,0.9105993985999999
1082,0.9106470348
1083,0.9100473166
1084,0.9089151026
1085,0.9088914516
1086,0.9079789282
1087,0.9079076528
1088,0.9073903083999999
1089,0.9085633992
1090,0.9085973380000001
1091,0.9087219594
1092,0.9087107896000001
1093,0.9087154984
1094,0.9075372099999999
1095,0.9073271514
1096,0.9070813895999998
1097,0.9083319188000001
1098,0.9083296775999999
1099,0.9082053421999999
1100,0.9084842204000001
1101,0.908654189
1102,0.9085679171999999
1103,0.908613324
1104,0.9089349746
1105,0.9087217568
1106,0.9092602132
1107,0.9081812142000001
1108,0.9082135795999999
1109,0.909163332
1110,0.9091739774
1111,0.9087453245999999
1112,0.9087355256
1113,0.9096897244000001
1114,0.9095883964
1115,0.9097350596
1116,0.910787475
1117,0.9108535646
1118,0.9098836419999999
1119,0.9088551281999999
1120,0.9089295506000001
1121,0.907806778
1122,0.9077768087999999
1123,0.9076505542
1124,0.9076415776
1125,0.906549239
1126,0.9064583658
1127,0.9064439534
1128,0.9063588262
1129,0.906437719
1130,0.9074306489999999
1131,0.9075497269999999
1132,0.9072674036
1133,0.907424271
1134,0.9074922442
1135,0.9076174258
1136,0.9086136579999999
1137,0.9087080838
1138,0.9098843338
1139,0.9097316982000001
1140,0.9095836642
1141,0.9085275414
1142,0.9087340358
1143,0.9074783806
1144,0.9075774554
1145,0.9087229494000001
1146,0.9097974304
1147,0.9107970597999999
1148,0.9109231354
1149,0.9108355284
1150,0.9097786306
1151,0.9087187884000001
1152,0.9076958296000001
1153,0.9076028464
1154,0.9076334474
1155,0.9075948832
1156,0.9076229452
1157,0.9075745462
1158,0.9076952098
1159,0.9086261272
1160,0.9085318446
1161,0.9084960578000001
1162,0.9095351934
1163,0.9093969226
1164,0.908408451
1165,0.9084301828000001
1166,0.908455944
1167,0.9075459598
1168,0.9086782454
1169,0.9087144850000002
1170,0.9086111188
1171,0.9087389112
1172,0.9096675754
1173,0.909714234
1174,0.9097129466
1175,0.9092695475999999
1176,0.9090433717999999
1177,0.9078631998000001
1178,0.9067237616
1179,0.9067730188
1180,0.9074716090000001
1181,0.9074803707999999
1182,0.9076326725999999
1183,0.9077648638
1184,0.9076164601999999
1185,0.9073125479999999
1186,0.9072804926
1187,0.9072702405999999
1188,0.9071053026000001
1189,0.9072118041999999
1190,0.9073265074
1191,0.9074265239999999
1192,0.9074334262000001
1193,0.9076041578
1194,0.9076361416000001
1195,0.9076305626
1196,0.9076696038
1197,0.9076350094000001
1198,0.9074218869999999
1199,0.9073548318
1200,0.9074733974000001
1201,0.907328415
1202,0.9072948455999998
1203,0.9073742986
1204,0.908548379
1205,0.9085115672
1206,0.9086978436
1207,0.9087526442
1208,0.908945024
1209,0.9078753947999999
1210,0.9076551556
1211,0.9075109242
1212,0.9074593064
1213,0.9072643277999999
1214,0.9072298285999999
1215,0.9073411582
1216,0.9073989747999999
1217,0.907392168
1218,0.9074124932000001
1219,0.9073438764
1220,0.907326913
1221,0.907389617
1222,0.9075038791999999
1223,0.9073867322
1224,0.9074594856000001
1225,0.9074831844
1226,0.9074294330000001
1227,0.907460487
1228,0.9077178956
1229,0.9076720238
1230,0.9078766584
1231,0.9076769114
1232,0.907580924
1233,0.9073293566
1234,0.9072968484
1235,0.9071139574
1236,0.9072558402
1237,0.9072913288000001
1238,0.9074463844
1239,0.9073873758
1240,0.9074393512000001
1241,0.9074569226
1242,0.9074544908
1243,0.907505095
1244,0.9076231835999999
1245,0.907732272
1246,0.9076804638
1247,0.9077527762000001
1248,0.9075736047999999
1249,0.9075928690000001
1250,0.907458222
1251,0.9074409008
1252,0.9071769476
1253,0.9083392858
1254,0.9071391344
1255,0.9074027658
1256,0.9075959684000001
1257,0.907676232
1258,0.9066541078
1259,0.9077370765999999
1260,0.9073940042
1261,0.9073750498
1262,0.9074413657999999
1263,0.9075403094000001
1264,0.9075884698
1265,0.9077059744
1266,0.9075301288000001
1267,0.9086512208
1268,0.9084710836
1269,0.9084985734
1270,0.9083881140000001
1271,0.9084387897999999
1272,0.9072590229999999
1273,0.9073622106
1274,0.9074777124000001
1275,0.9076821326
1276,0.9077102659999999
1277,0.9077780722
1278,0.9076659202
1279,0.9075900316000001
1280,0.9075829982
1281,0.907774198
1282,0.9077302098000001
1283,0.9066165684000002
1284,0.9065808532
1285,0.9063000318000001
1286,0.9061579819999999
1287,0.9061844466
1288,0.9082903741999999
1289,0.9083251118
1290,0.9085021734
1291,0.9085520387999999
1292,0.9073521972
1293,0.9064715504
1294,0.9065473914
1295,0.9065858006
1296,0.9065310476
1297,0.9076292752
1298,0.907577884
1299,0.9073887704000001
1300,0.9073561548000001
1301,0.9074430942000001
1302,0.9075390456000001
1303,0.907602477
1304,0.9076505302000001
1305,0.9076820729999999
1306,0.907642579
1307,0.9075876712
1308,0.9075105903999999
1309,0.907262504
1310,0.9073199867999999
1311,0.9071565507999999
1312,0.9071686388
1313,0.9065744402
1314,0.9057894232000001
1315,0.9057065487999999
