R2_1-m/m	R2_2-m/m	R2_3-m/m	e1	e2
0.00014597	-0.00008312	0.00017303	-0.00008350	0.00040250
0.00014700	-0.00008249	0.00017248	-0.00008283	0.00040232
0.00014854	-0.00008241	0.00017189	-0.00008269	0.00040311
0.00014779	-0.00008194	0.00017279	-0.00008226	0.00040285
0.00014861	-0.00008176	0.00017084	-0.00008202	0.00040146
0.00014935	-0.00008143	0.00017135	-0.00008168	0.00040237
0.00014770	-0.00008469	0.00017218	-0.00008499	0.00040488
0.00014813	-0.00008131	0.00017140	-0.00008159	0.00040111
0.00014924	-0.00008161	0.00017353	-0.00008192	0.00040469
0.00014692	-0.00008202	0.00017171	-0.00008234	0.00040097
0.00014777	-0.00008184	0.00017464	-0.00008221	0.00040461
0.00014784	-0.00008155	0.00017315	-0.00008188	0.00040288
0.00014893	-0.00008319	0.00017238	-0.00008347	0.00040478
0.00014703	-0.00008256	0.00017342	-0.00008292	0.00040337
0.00014591	-0.00008145	0.00017419	-0.00008187	0.00040196
0.00014720	-0.00008338	0.00017261	-0.00008371	0.00040351
0.00014859	-0.00008233	0.00017291	-0.00008263	0.00040413
0.00014796	-0.00008303	0.00017166	-0.00008332	0.00040295
0.00014637	-0.00008204	0.00017011	-0.00008233	0.00039881
0.00014652	-0.00008221	0.00017476	-0.00008262	0.00040391
0.00014498	-0.00008046	0.00017205	-0.00008084	0.00039787
0.00014834	-0.00008252	0.00017328	-0.00008283	0.00040446
0.00014863	-0.00008264	0.00017005	-0.00008288	0.00040156
0.00014751	-0.00008226	0.00017222	-0.00008257	0.00040230
0.00014762	-0.00008314	0.00017374	-0.00008349	0.00040485
0.00014585	-0.00008214	0.00017239	-0.00008250	0.00040074
0.00014792	-0.00008100	0.00017183	-0.00008129	0.00040104
0.00014730	-0.00008245	0.00017178	-0.00008276	0.00040185
0.00014802	-0.00008211	0.00017104	-0.00008239	0.00040145
0.00014392	-0.00008264	0.00017109	-0.00008302	0.00039803
0.00014670	-0.00008371	0.00017087	-0.00008401	0.00040159
0.00014655	-0.00008294	0.00017272	-0.00008329	0.00040257
0.00014693	-0.00008371	0.00017092	-0.00008400	0.00040186
0.00014635	-0.00008269	0.00016991	-0.00008298	0.00039924
0.00014728	-0.00008477	0.00017082	-0.00008505	0.00040316
0.00014530	-0.00008361	0.00017229	-0.00008398	0.00040157
0.00014645	-0.00008287	0.00017205	-0.00008321	0.00040170
0.00014617	-0.00008204	0.00017357	-0.00008242	0.00040216
0.00014673	-0.00008307	0.00017177	-0.00008339	0.00040189
0.00014597	-0.00008433	0.00017207	-0.00008468	0.00040273
0.00014583	-0.00008303	0.00016923	-0.00008332	0.00039838
0.00014548	-0.00008344	0.00017232	-0.00008381	0.00040162
0.00014411	-0.00008331	0.00017245	-0.00008372	0.00040029
0.00014704	-0.00008282	0.00017083	-0.00008311	0.00040098
0.00014615	-0.00008343	0.00017176	-0.00008377	0.00040168
0.00014674	-0.00008246	0.00017161	-0.00008278	0.00040114
0.00014568	-0.00008392	0.00017218	-0.00008428	0.00040214
0.00014493	-0.00008176	0.00017069	-0.00008210	0.00039773
0.00014656	-0.00008389	0.00017057	-0.00008418	0.00040131
0.00014678	-0.00008363	0.00017267	-0.00008398	0.00040343
0.00014632	-0.00008187	0.00016975	-0.00008216	0.00039823
0.00014804	-0.00008226	0.00017387	-0.00008260	0.00040452
0.00014631	-0.00008167	0.00017158	-0.00008201	0.00039990
0.00014674	-0.00008383	0.00017026	-0.00008411	0.00040111
